"Date","Price","Open","High","Low","Vol.","Change %"
"08/01/2023","1,365.20","1,362.00","1,369.00","1,357.00","6.06M","0.70%"
"07/31/2023","1,355.70","1,348.75","1,357.50","1,333.25","7.90M","1.13%"
"07/28/2023","1,340.50","1,353.85","1,363.85","1,336.00","6.12M","-0.93%"
"07/27/2023","1,353.15","1,358.60","1,363.80","1,347.05","9.19M","0.32%"
"07/26/2023","1,348.85","1,343.00","1,350.00","1,339.40","5.53M","1.07%"
"07/25/2023","1,334.60","1,337.00","1,342.85","1,324.25","6.80M","-0.15%"
"07/24/2023","1,336.60","1,341.00","1,349.90","1,334.25","8.86M","0.38%"
"07/21/2023","1,331.60","1,320.20","1,350.00","1,305.00","45.55M","-8.13%"
"07/20/2023","1,449.50","1,471.00","1,471.00","1,440.70","8.35M","-1.73%"
"07/19/2023","1,474.95","1,486.00","1,498.80","1,460.70","13.69M","-0.02%"
"07/18/2023","1,475.20","1,434.00","1,477.95","1,429.00","16.74M","3.67%"
"07/17/2023","1,422.95","1,425.95","1,458.95","1,414.30","11.57M","-0.21%"
"07/14/2023","1,425.95","1,380.65","1,430.00","1,380.65","12.83M","4.46%"
"07/13/2023","1,365.10","1,334.90","1,376.80","1,330.85","9.98M","2.39%"
"07/12/2023","1,333.30","1,351.00","1,351.90","1,327.00","8.10M","-1.13%"
"07/11/2023","1,348.60","1,333.45","1,350.90","1,327.00","6.13M","1.46%"
"07/10/2023","1,329.15","1,336.55","1,341.90","1,319.30","3.94M","-0.08%"
"07/07/2023","1,330.20","1,334.00","1,345.80","1,325.35","6.30M","-1.02%"
"07/06/2023","1,343.90","1,342.55","1,347.45","1,337.15","5.96M","-0.25%"
"07/05/2023","1,347.30","1,357.85","1,357.95","1,341.00","5.41M","0.16%"
"07/04/2023","1,345.15","1,344.30","1,346.00","1,331.40","5.80M","0.86%"
"07/03/2023","1,333.70","1,330.00","1,346.00","1,328.45","7.73M","-0.13%"
"06/30/2023","1,335.50","1,308.20","1,338.90","1,304.45","12.82M","3.26%"
"06/28/2023","1,293.35","1,290.00","1,296.70","1,281.40","5.66M","1.11%"
"06/27/2023","1,279.15","1,280.00","1,282.00","1,274.20","3.24M","0.69%"
"06/26/2023","1,270.35","1,270.25","1,274.00","1,262.25","3.40M","0.42%"
"06/23/2023","1,265.00","1,276.45","1,279.35","1,263.35","7.24M","-1.29%"
"06/22/2023","1,281.55","1,289.40","1,289.40","1,273.50","6.68M","-1.37%"
"06/21/2023","1,299.35","1,299.95","1,303.80","1,295.00","4.04M","-0.31%"
"06/20/2023","1,303.40","1,294.00","1,305.00","1,291.10","4.01M","0.73%"
"06/19/2023","1,294.00","1,294.00","1,299.50","1,287.05","4.45M","0.18%"
"06/16/2023","1,291.65","1,287.00","1,301.50","1,281.05","8.54M","0.38%"
"06/15/2023","1,286.80","1,293.95","1,293.95","1,282.65","6.16M","-1.05%"
"06/14/2023","1,300.40","1,306.35","1,306.70","1,293.20","3.46M","-0.34%"
"06/13/2023","1,304.85","1,299.90","1,306.50","1,297.05","4.85M","1.00%"
"06/12/2023","1,291.95","1,273.50","1,295.70","1,273.00","4.79M","2.05%"
"06/09/2023","1,265.95","1,282.50","1,282.50","1,264.00","5.34M","-1.31%"
"06/08/2023","1,282.80","1,286.20","1,292.00","1,281.10","5.03M","-0.48%"
"06/07/2023","1,288.95","1,290.50","1,294.00","1,282.50","5.40M","0.78%"
"06/06/2023","1,279.00","1,288.60","1,288.60","1,273.00","10.01M","-1.95%"
"06/05/2023","1,304.50","1,304.00","1,309.45","1,297.30","5.00M","0.42%"
"06/02/2023","1,299.00","1,309.00","1,312.90","1,296.05","10.91M","-1.55%"
"06/01/2023","1,319.50","1,322.55","1,329.50","1,318.10","4.28M","0.09%"
"05/31/2023","1,318.30","1,319.85","1,331.10","1,314.15","17.80M","-0.42%"
"05/30/2023","1,323.85","1,315.00","1,326.40","1,309.15","6.27M","0.72%"
"05/29/2023","1,314.40","1,332.70","1,332.70","1,309.85","4.42M","-0.23%"
"05/26/2023","1,317.45","1,306.00","1,323.45","1,306.00","5.52M","1.00%"
"05/25/2023","1,304.35","1,294.50","1,307.00","1,289.25","4.33M","0.44%"
"05/24/2023","1,298.65","1,296.30","1,305.00","1,291.30","4.82M","-0.11%"
"05/23/2023","1,300.05","1,299.20","1,314.15","1,297.05","7.44M","0.56%"
